"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"M&amp;M","EQ","15-Apr-2020","        362.85","        373.05","        379.90","        349.30","        351.20","        353.15","        360.26","   11300959","          4071252317.00","     181710"
"M&amp;M","EQ","16-Apr-2020","        353.15","        343.10","        360.45","        343.00","        356.50","        356.70","        353.45","    6155773","          2175775371.70","      99892"
"M&amp;M","EQ","17-Apr-2020","        356.70","        370.75","        370.75","        355.55","        363.00","        363.20","        362.13","    6178611","          2237433697.10","      80038"
"M&amp;M","EQ","20-Apr-2020","        363.20","        367.00","        367.45","        354.00","        354.05","        355.85","        358.25","    4834224","          1731842869.00","      76198"
"M&amp;M","EQ","21-Apr-2020","        355.85","        349.05","        349.05","        323.50","        330.00","        332.05","        332.69","    8003782","          2662759255.95","     167070"
"M&amp;M","EQ","22-Apr-2020","        332.05","        327.00","        345.75","        320.60","        338.00","        340.20","        337.66","    9073718","          3063827491.30","     170221"
"M&amp;M","EQ","23-Apr-2020","        340.20","        338.00","        349.65","        331.55","        345.90","        347.50","        341.11","    6738333","          2298531225.75","     115896"
"M&amp;M","EQ","24-Apr-2020","        347.50","        342.00","        344.75","        332.00","        333.00","        334.30","        338.88","    5755029","          1950279583.90","     119113"
"M&amp;M","EQ","27-Apr-2020","        334.30","        337.55","        343.35","        328.15","        331.55","        330.30","        334.99","    5770552","          1933059299.80","     102139"
"M&amp;M","EQ","28-Apr-2020","        330.30","        334.45","        338.00","        328.50","        337.00","        335.95","        332.92","    4244522","          1413077086.00","      56392"
"M&amp;M","EQ","29-Apr-2020","        335.95","        337.00","        351.80","        336.25","        349.00","        348.00","        346.33","    7748498","          2683527424.90","     121151"
"M&amp;M","EQ","30-Apr-2020","        348.00","        355.65","        368.00","        355.00","        367.55","        366.65","        363.75","    7422880","          2700090395.65","     124105"
"M&amp;M","EQ","04-May-2020","        366.65","        350.05","        362.40","        341.10","        361.10","        357.05","        350.73","    7125034","          2498970344.20","     145606"
